date,symbol,close_price
5/8/2023,BTC,"27,670.50"
5/7/2023,BTC,"28,424.80"
5/6/2023,BTC,"28,857.10"
5/5/2023,BTC,"29,513.20"
5/4/2023,BTC,"28,842.10"
5/3/2023,BTC,"29,023.60"
5/2/2023,BTC,"28,669.10"
5/1/2023,BTC,"28,077.60"
04/30/2023,BTC,"29,252.10"
04/29/2023,BTC,"29,234.10"
04/28/2023,BTC,"29,321.80"
04/27/2023,BTC,"29,475.90"
04/26/2023,BTC,"28,424.60"
04/25/2023,BTC,"28,298.80"
04/24/2023,BTC,"27,509.30"
04/23/2023,BTC,"27,591.40"
04/22/2023,BTC,"27,813.90"
04/21/2023,BTC,"27,264.80"
04/20/2023,BTC,"28,240.50"
04/19/2023,BTC,"28,813.70"
04/18/2023,BTC,"30,382.20"
04/17/2023,BTC,"29,434.90"
04/16/2023,BTC,"30,310.30"
04/15/2023,BTC,"30,299.60"
04/14/2023,BTC,"30,472.50"
04/13/2023,BTC,"30,387.40"
4/12/2023,BTC,"29,886.40"
4/11/2023,BTC,"30,209.60"
4/10/2023,BTC,"29,641.00"
4/9/2023,BTC,"28,326.60"
4/8/2023,BTC,"27,941.20"
4/7/2023,BTC,"27,910.40"
4/6/2023,BTC,"28,036.70"
4/5/2023,BTC,"28,173.50"
4/4/2023,BTC,"28,164.40"
4/3/2023,BTC,"27,802.10"
4/2/2023,BTC,"28,198.30"
4/1/2023,BTC,"28,456.10"
03/31/2023,BTC,"28,473.70"
03/30/2023,BTC,"28,029.50"
03/29/2023,BTC,"28,350.40"
03/28/2023,BTC,"27,262.20"
03/27/2023,BTC,"27,129.80"
03/26/2023,BTC,"27,973.50"
03/25/2023,BTC,"27,475.60"
03/24/2023,BTC,"27,462.20"
03/23/2023,BTC,"28,310.70"
03/22/2023,BTC,"27,261.70"
03/21/2023,BTC,"28,114.00"
03/20/2023,BTC,"27,720.50"
03/19/2023,BTC,"27,958.70"
03/18/2023,BTC,"26,914.50"
03/17/2023,BTC,"27,391.80"
03/16/2023,BTC,"25,004.10"
